,ball_no,total_innings,mean_runs
0,1,199,0.311557788945
1,2,197,0.406091370558
2,3,195,0.461538461538
3,4,189,0.62962962963
4,5,187,0.695187165775
5,6,178,0.719101123596
6,7,176,0.744318181818
7,8,174,0.534482758621
8,9,170,0.635294117647
9,10,165,0.824242424242
10,11,165,0.793939393939
11,12,163,0.840490797546
12,13,160,0.91875
13,14,156,0.692307692308
14,15,155,0.890322580645
15,16,155,0.961290322581
16,17,154,0.909090909091
17,18,152,0.835526315789
18,19,146,0.808219178082
19,20,143,0.776223776224
20,21,141,0.77304964539
21,22,138,0.869565217391
22,23,132,0.939393939394
23,24,132,0.901515151515
24,25,131,0.847328244275
25,26,129,0.868217054264
26,27,129,0.883720930233
27,28,126,0.825396825397
28,29,125,0.768
29,30,123,0.634146341463
30,31,120,0.866666666667
31,32,120,0.783333333333
32,33,120,0.916666666667
33,34,117,0.905982905983
34,35,114,0.885964912281
35,36,113,0.849557522124
36,37,111,0.792792792793
37,38,110,0.7
38,39,109,0.669724770642
39,40,107,0.990654205607
40,41,107,0.96261682243
41,42,104,0.875
42,43,102,1.05882352941
43,44,102,1.00980392157
44,45,100,0.95
45,46,100,0.98
46,47,99,0.878787878788
47,48,97,1.03092783505
48,49,97,0.989690721649
49,50,97,0.938144329897
50,51,96,0.854166666667
51,52,94,1.13829787234
52,53,90,0.955555555556
53,54,90,1.04444444444
54,55,87,0.83908045977
55,56,86,0.744186046512
56,57,85,1.08235294118
57,58,84,1.09523809524
58,59,84,1.0
59,60,84,1.07142857143
60,61,83,1.34939759036
61,62,82,1.12195121951
62,63,82,1.26829268293
63,64,81,0.814814814815
64,65,81,1.0987654321
65,66,78,1.08974358974
66,67,75,1.04
67,68,74,1.14864864865
68,69,72,1.30555555556
69,70,68,1.13235294118
70,71,67,0.776119402985
71,72,66,0.742424242424
72,73,65,1.36923076923
73,74,63,0.809523809524
74,75,61,0.786885245902
75,76,61,1.2131147541
76,77,60,1.15
77,78,60,1.05
78,79,57,1.0
79,80,57,1.0701754386
80,81,55,1.58181818182
81,82,54,1.22222222222
82,83,53,0.905660377358
83,84,52,1.28846153846
84,85,51,1.19607843137
85,86,50,1.22
86,87,48,0.9375
87,88,48,0.895833333333
88,89,47,1.25531914894
89,90,46,0.934782608696
90,91,46,0.804347826087
91,92,44,1.15909090909
92,93,43,1.37209302326
93,94,41,1.34146341463
94,95,40,0.9
95,96,37,1.13513513514
96,97,37,0.837837837838
97,98,37,1.13513513514
98,99,35,1.05714285714
99,100,33,0.969696969697
100,101,33,1.09090909091
101,102,33,0.939393939394
102,103,31,1.41935483871
103,104,30,1.2
104,105,29,1.31034482759
105,106,29,1.20689655172
106,107,27,1.48148148148
107,108,23,1.13043478261
108,109,22,1.18181818182
109,110,20,1.65
110,111,20,1.15
111,112,20,1.65
112,113,20,0.85
113,114,18,1.77777777778
114,115,18,0.944444444444
115,116,16,1.5
116,117,16,1.1875
117,118,16,1.0625
118,119,15,1.6
119,120,13,1.69230769231
120,121,12,2.0
121,122,11,1.45454545455
122,123,10,1.6
123,124,10,0.8
124,125,10,1.6
125,126,9,1.33333333333
126,127,9,0.222222222222
127,128,7,2.57142857143
128,129,7,1.0
129,130,5,3.6
130,131,4,1.25
131,132,4,1.5
132,133,4,2.75
133,134,4,3.0
134,135,4,3.25
135,136,3,0.666666666667
136,137,3,1.0
137,138,3,2.66666666667
138,139,3,1.0
139,140,3,1.0
140,141,3,1.66666666667
141,142,3,1.66666666667
142,143,2,2.0
143,144,2,0.5
144,145,2,1.0
145,146,2,1.0
146,147,2,0.5
147,148,2,2.5
148,149,2,1.0
149,150,2,1.0
150,151,2,0.5
151,152,1,1.0
152,153,1,1.0
153,154,1,0.0
154,155,1,0.0
155,156,1,1.0
156,157,1,1.0
157,158,1,1.0
158,159,1,6.0
159,160,1,1.0
160,161,1,0.0
161,162,1,1.0
162,163,1,1.0
163,164,1,6.0
164,165,1,4.0
